"Device Name","Type","OS Name"
"SHHWSR0006","",""
"SHHWSR0008","",""
"SHHWSR0412","Virtual Server","Microsoft Windows Server 2008 R2 Server Standard Edition (full installation), 64-bit"
"SHHWSR0491","",""
"SHHWSR0579","",""
"SHHWSR0580","",""
"SHHWSR0696","",""
"SHHWSR0698","",""
"SHHWSR0931","",""
"SHHWSR0932","",""
"SHHWSR1017","",""
"SHHWSR1018","",""
"SHHWSR1023","Virtual Server","Microsoft Windows Server 2012 R2 Server Standard Edition (full installation), 64-bit"
"SHHWSR1025","",""
"SHHWSR1201","",""
"SHHWSR1202","",""
"SHHWSR1203","",""
"SHHWSR1204","",""
"SHHWSR1205","",""
"SHHWSR1206","",""
"SHHWSR1207","",""
"SHHWSR1658","Virtual Server","Microsoft Windows Server 2016 Server Standard Edition (full installation), 64-bit"
"SHHWSR1677","Virtual Server","Microsoft Windows Server 2016 Server Standard Edition (full installation), 64-bit"
"SHHWSR1790","Virtual Server","Microsoft Windows Server 2016 Server Datacenter Edition (full installation), 64-bit"
"SHHWSR1791","Virtual Server","Microsoft Windows Server 2016 Server Datacenter Edition (full installation), 64-bit"
"SHHWSR1792","Virtual Server","Microsoft Windows Server 2016 Server Datacenter Edition (full installation), 64-bit"
"shhwsr1803","Virtual Server","Microsoft Windows Server 2016 Server Datacenter Edition (full installation), 64-bit"
"shhwsr1804","Virtual Server","Microsoft Windows Server 2016 Server Datacenter Edition (full installation), 64-bit"
"shhwsr1805","Virtual Server","Microsoft Windows Server 2016 Server Datacenter Edition (full installation), 64-bit"
"shhwsr1806","Virtual Server","Microsoft Windows Server 2016 Server Datacenter Edition (full installation), 64-bit"
"SHHWSR1853","WORKSTATION",""
"SHHWSR1867","WORKSTATION",""
"SHHWSR1872","Virtual Server","Microsoft Windows Server 2016 Server Standard Edition (full installation), 64-bit"
"SHHWSRCX0028","Virtual Server","Microsoft Windows Server 2016 Server Standard Edition (full installation), 64-bit"
"SHHWSRCX0132","Virtual Server","Microsoft Windows Server 2008 R2 Server Standard Edition (full installation), 64-bit"
"SHHWSRCX0134","",""
"SHHWSRCX1053","Virtual Server","Microsoft Windows Server 2016 Server Standard Edition (full installation), 64-bit"
"SHHWSRCX2131","Virtual Server","Microsoft Windows Server 2008 R2 Server Standard Edition (full installation), 64-bit"
"SHHWSRCX2132","Virtual Server","Microsoft Windows Server 2008 R2 Server Standard Edition (full installation), 64-bit"
"SHHWSRCX2133","Virtual Server","Microsoft Windows Server 2008 R2 Server Standard Edition (full installation), 64-bit"
"SHHWSRCX2134","Virtual Server","Microsoft Windows Server 2008 R2 Server Standard Edition (full installation), 64-bit"
"SHHWSRCX2135","Virtual Server","Microsoft Windows Server 2008 R2 Server Standard Edition (full installation), 64-bit"
"SHHWSRCX2136","Virtual Server","Microsoft Windows Server 2008 R2 Server Standard Edition (full installation), 64-bit"
"TSTSHHWSR0036","Virtual Server","Microsoft Windows Server 2008 R2 Server Standard Edition (full installation), 64-bit"
"TSTSHHWSR0046","Virtual Server","Microsoft Windows Server 2008 R2 Server Standard Edition (full installation), 64-bit"
"TSTSHHWSR0050","Virtual Server","Microsoft Windows Server 2008 R2 Server Datacenter Edition (full installation), 64-bit"
"TSTSHHWSR0179","Virtual Server","Microsoft Windows Server 2008 R2 Server Standard Edition (full installation), 64-bit"
"TSTSHHWSR0229","",""
"TSTSHHWSR0307","Virtual Server","Microsoft Windows Server 2016 Server Standard Edition (full installation), 64-bit"
"TSTSHHWSR1677","Virtual Server","Microsoft Windows Server 2016 Server Standard Edition (full installation), 64-bit"
"TSTSHHWSR1677","Virtual Server","Microsoft Windows Server 2016 Server Standard Edition (full installation), 64-bit"
